iter	RMSE
0	11963.9033
1	11955.92928
2	11947.16497
3	11938.38591
4	11930.62309
5	11922.40393
6	11914.48434
7	11905.36029
8	11897.5856
9	11888.50147
10	11879.2612
11	11870.95482
12	11862.66261
13	11854.36154
14	11846.24975
15	11837.77727
16	11829.83184
17	11822.04674
18	11813.92453
19	11806.12182
20	11798.31309
21	11790.16569
22	11782.15259
23	11773.63531
24	11765.17018
25	11757.90455
26	11750.51605
27	11742.72406
28	11734.25974
29	11726.22453
30	11717.7302
31	11709.96642
32	11701.71793
33	11693.91862
34	11684.68393
35	11676.83279
36	11668.29766
37	11660.25657
38	11651.28181
39	11643.41382
40	11635.19946
41	11627.86884
42	11620.7719
43	11612.16197
44	11604.94989
45	11596.67957
46	11588.3894
47	11580.04153
48	11571.34529
49	11563.11785
50	11555.47201
51	11547.17166
52	11538.85834
53	11530.73203
54	11523.54483
55	11515.85144
56	11508.93346
57	11500.38256
58	11492.12707
59	11483.77086
60	11475.40572
61	11467.40224
62	11459.51
63	11450.85399
64	11443.04708
65	11434.48397
66	11426.27983
67	11418.57378
68	11410.82015
69	11403.31349
70	11394.93999
71	11386.01452
72	11378.66241
73	11370.68388
74	11362.309
75	11354.76792
76	11346.97557
77	11339.4948
78	11331.21877
79	11323.70523
80	11315.6513
81	11308.12999
82	11299.69088
83	11291.2593
84	11282.89683
85	11274.49043
86	11266.83872
87	11259.41759
88	11251.23761
89	11243.32609
90	11236.54919
91	11227.98514
92	11219.60214
93	11211.49652
94	11203.44432
95	11197.01145
96	11189.2341
97	11181.14575
98	11173.13363
99	11166.22052
100	11158.3408
101	11150.24342
102	11142.53016
103	11135.69335
104	11127.50992
105	11120.18867
106	11113.11389
107	11105.96317
108	11097.84037
109	11089.37949
110	11082.11555
111	11073.74601
112	11066.55744
113	11059.59416
114	11052.97372
115	11045.74054
116	11038.49958
117	11031.66585
118	11024.13005
119	11017.13559
120	11010.37759
121	11002.98754
122	10994.76572
123	10987.11322
124	10979.68466
125	10972.05732
126	10964.66836
127	10957.34658
128	10949.92614
129	10941.88179
130	10933.8355
131	10926.46968
132	10919.75536
133	10912.44765
134	10905.83764
135	10899.56599
136	10892.78364
137	10885.28538
138	10878.1107
139	10871.49817
140	10863.95676
141	10856.39483
142	10848.4849
143	10840.94727
144	10832.98978
145	10826.13751
146	10818.63542
147	10811.53736
148	10804.06
149	10796.83644
150	10789.59685
151	10782.429
152	10775.98711
153	10768.42802
154	10761.75979
155	10755.27152
156	10748.84107
157	10741.10939
158	10733.96928
159	10726.68574
160	10718.95328
161	10711.62661
162	10704.39208
163	10697.13839
164	10688.91736
165	10681.71985
166	10674.79862
167	10668.04893
168	10660.68268
169	10653.60875
170	10646.44518
171	10639.10853
172	10630.96969
173	10623.85757
174	10617.56282
175	10610.89459
176	10604.27995
177	10597.63648
178	10590.50079
179	10584.3211
180	10576.83443
181	10569.20485
182	10562.73211
183	10555.27233
184	10548.56592
185	10540.93537
186	10533.61789
187	10527.81285
188	10521.72248
189	10515.22711
190	10508.54812
191	10501.29737
192	10494.90759
193	10487.98259
194	10480.74027
195	10473.7833
196	10466.67042
197	10459.97581
198	10454.391
199	10447.18638
200	10439.67486
201	10432.81412
202	10426.36924
203	10420.17326
204	10412.99372
205	10405.8252
206	10398.62619
207	10391.97984
208	10384.70114
209	10378.40117
210	10371.27717
211	10364.6154
212	10357.7729
213	10350.88928
214	10344.72351
215	10337.60619
216	10330.49348
217	10324.33031
218	10317.38143
219	10311.15634
220	10303.77808
221	10296.85255
222	10289.89651
223	10283.28629
224	10277.50989
225	10271.26036
226	10264.86583
227	10257.95172
228	10251.22346
229	10244.47586
230	10237.02643
231	10229.78339
232	10223.36674
233	10215.70247
234	10209.08142
235	10202.36559
236	10195.61084
237	10189.27327
238	10182.38207
239	10175.54058
240	10168.74539
241	10161.79456
242	10155.67366
243	10148.9864
244	10142.57116
245	10136.0288
246	10128.53045
247	10121.45356
248	10115.54101
249	10109.31686
250	10103.33084
251	10096.58489
252	10090.35828
253	10084.13766
254	10077.7372
255	10070.97996
256	10063.91149
257	10056.71218
258	10049.56628
259	10043.43326
260	10036.7813
261	10030.37324
262	10024.04749
263	10017.76693
264	10011.86658
265	10005.36905
266	9998.527388
267	9991.871894
268	9985.756901
269	9979.139921
270	9972.802473
271	9966.119389
272	9960.041057
273	9953.352871
274	9947.097929
275	9940.034439
276	9933.083239
277	9926.389914
278	9919.701733
279	9912.838082
280	9906.180607
281	9899.514131
282	9892.66064
283	9886.271518
284	9879.400851
285	9872.795492
286	9866.784641
287	9859.576512
288	9853.298819
289	9846.823694
290	9840.164656
291	9833.763464
292	9827.631185
293	9821.741608
294	9815.58586
295	9809.611815
296	9803.83964
297	9797.19649
298	9790.83368
299	9784.606489
300	9778.169934
301	9772.549442
302	9766.979711
303	9760.128665
304	9753.70485
305	9747.577837
306	9741.10856
307	9735.712007
308	9729.073587
309	9722.604188
310	9716.136801
311	9710.138586
312	9704.650403
313	9699.174077
314	9692.537206
315	9686.71212
316	9680.319965
317	9674.519221
318	9668.102231
319	9661.700048
320	9655.486688
321	9649.415057
322	9643.318677
323	9636.757224
324	9630.372798
325	9623.987484
326	9617.301123
327	9611.067749
328	9605.099144
329	9598.409146
330	9592.666753
331	9586.627682
332	9579.80676
333	9574.119972
334	9568.296865
335	9563.225907
336	9556.880464
337	9550.551607
338	9544.091739
339	9537.498067
340	9531.233644
341	9524.492173
342	9518.318947
343	9512.752885
344	9506.584542
345	9500.444907
346	9493.839532
347	9487.973902
348	9481.558537
349	9475.044652
350	9469.086445
351	9462.890831
352	9456.236056
353	9450.426004
354	9444.683659
355	9438.288712
356	9431.772237
357	9425.650336
358	9419.477897
359	9412.900482
360	9406.720769
361	9400.521193
362	9394.154874
363	9388.121461
364	9381.470189
365	9375.846887
366	9370.267075
367	9364.250925
368	9358.257582
369	9352.704462
370	9347.051404
371	9341.371879
372	9336.267833
373	9331.11552
374	9325.991579
375	9320.10468
376	9314.085259
377	9308.872098
378	9303.126955
379	9297.624429
380	9292.015616
381	9286.705809
382	9281.512135
383	9276.396905
384	9271.008685
385	9265.36453
386	9259.76892
387	9253.504565
388	9246.985145
389	9241.192795
390	9235.29905
391	9229.41556
392	9224.084987
393	9218.038403
