iter	Passed	Remaining
0	7	7208
1	11	5715
2	14	4925
3	18	4575
4	22	4397
5	26	4312
6	29	4228
7	32	3996
8	36	3972
9	37	3759
10	42	3799
11	46	3794
12	50	3833
13	54	3826
14	58	3835
15	62	3833
16	65	3807
17	69	3813
18	73	3813
19	78	3823
20	82	3822
21	86	3833
22	90	3853
23	94	3853
24	98	3855
25	103	3863
26	107	3859
27	111	3864
28	115	3862
29	119	3850
30	122	3840
31	126	3834
32	130	3833
33	135	3842
34	136	3765
35	140	3771
36	141	3691
37	145	3695
38	147	3629
39	151	3628
40	155	3630
41	158	3626
42	163	3630
43	167	3641
44	172	3651
45	176	3654
46	177	3592
47	181	3592
48	185	3595
49	189	3604
50	193	3601
51	194	3542
52	195	3495
53	199	3496
54	203	3493
55	207	3494
56	211	3493
57	213	3472
58	217	3473
59	221	3471
60	225	3463
61	228	3461
62	233	3466
63	234	3436
64	239	3440
65	240	3410
66	244	3408
67	249	3413
68	252	3412
69	256	3410
70	260	3414
71	262	3380
72	266	3381
73	269	3378
74	273	3378
75	277	3379
76	282	3381
77	286	3381
78	288	3360
79	292	3362
80	296	3365
81	300	3366
82	302	3346
83	305	3331
84	307	3307
85	311	3309
86	315	3309
87	319	3308
88	320	3280
89	324	3280
90	328	3285
91	332	3286
92	336	3281
93	340	3278
94	344	3281
95	348	3281
96	352	3284
97	355	3269
98	358	3258
99	362	3259
100	365	3257
101	369	3255
102	373	3256
103	379	3266
104	384	3276
105	390	3290
106	395	3300
107	400	3310
108	403	3296
109	408	3308
110	413	3314
111	415	3291
112	419	3290
113	423	3292
114	427	3289
115	431	3285
116	434	3281
117	438	3278
118	442	3275
119	446	3274
120	450	3272
121	454	3268
122	455	3247
123	459	3243
124	463	3241
125	466	3236
126	470	3233
127	474	3230
128	478	3227
129	479	3208
130	480	3188
131	484	3186
132	489	3187
133	492	3182
134	496	3180
135	500	3178
136	504	3178
137	508	3176
138	512	3174
139	516	3170
140	520	3169
141	523	3165
142	526	3154
143	530	3151
144	534	3149
